pruid,reporting_pt_en,reporting_pt_fr,date,num_confirmedcases_delta,num_confirmedcases_cumulative,num_hosp,num_icu,num_deaths,shaded
1,Canada,Canada,2022-08-27,7,1283,,,,
24,Quebec,Québec,2022-08-28,1,446,,,,
1,Canada,Canada,2022-08-28,1,1284,,,,
59,British Columbia,Colombie-Britannique,2022-08-29,1,143,,,,
35,Ontario,Ontario,2022-08-29,2,654,,,,
24,Quebec,Québec,2022-08-29,1,447,,,,
1,Canada,Canada,2022-08-29,4,1288,,,,
59,British Columbia,Colombie-Britannique,2022-08-30,1,144,,,,
24,Quebec,Québec,2022-08-30,2,449,,,,
1,Canada,Canada,2022-08-30,3,1291,,,,
59,British Columbia,Colombie-Britannique,2022-08-31,2,146,,,,
35,Ontario,Ontario,2022-08-31,3,657,,,,
24,Quebec,Québec,2022-08-31,1,450,,,,
1,Canada,Canada,2022-08-31,6,1297,,,,
59,British Columbia,Colombie-Britannique,2022-09-01,2,148,,,,
35,Ontario,Ontario,2022-09-01,3,660,,,,
1,Canada,Canada,2022-09-01,5,1302,,,,
59,British Columbia,Colombie-Britannique,2022-09-02,1,149,,,,
35,Ontario,Ontario,2022-09-02,1,661,,,,
1,Canada,Canada,2022-09-02,2,1304,,,,
48,Alberta,Alberta,2022-09-03,1,37,,,,
59,British Columbia,Colombie-Britannique,2022-09-03,1,150,,,,
35,Ontario,Ontario,2022-09-03,1,662,,,,
24,Quebec,Québec,2022-09-03,4,454,,,,
1,Canada,Canada,2022-09-03,7,1311,,,,
59,British Columbia,Colombie-Britannique,2022-09-04,1,151,,,,
35,Ontario,Ontario,2022-09-04,1,663,,,,
1,Canada,Canada,2022-09-04,2,1313,,,,
59,British Columbia,Colombie-Britannique,2022-09-05,4,155,,,,
1,Canada,Canada,2022-09-05,4,1317,,,,
35,Ontario,Ontario,2022-09-06,2,665,,,,
24,Quebec,Québec,2022-09-06,1,455,,,,
1,Canada,Canada,2022-09-06,3,1320,,,,
59,British Columbia,Colombie-Britannique,2022-09-07,1,156,,,,
35,Ontario,Ontario,2022-09-07,1,666,,,,
1,Canada,Canada,2022-09-07,2,1322,,,,
59,British Columbia,Colombie-Britannique,2022-09-08,1,157,,,,
35,Ontario,Ontario,2022-09-08,1,667,,,,
1,Canada,Canada,2022-09-08,2,1324,,,,
35,Ontario,Ontario,2022-09-09,3,670,,,,
24,Quebec,Québec,2022-09-09,1,456,,,,
1,Canada,Canada,2022-09-09,4,1328,,,,
59,British Columbia,Colombie-Britannique,2022-09-11,1,158,,,,
1,Canada,Canada,2022-09-11,1,1329,,,,
35,Ontario,Ontario,2022-09-12,2,672,,,,
1,Canada,Canada,2022-09-12,2,1331,,,,
48,Alberta,Alberta,2022-09-13,1,38,,,,
59,British Columbia,Colombie-Britannique,2022-09-13,2,160,,,,
35,Ontario,Ontario,2022-09-13,3,675,,,,
24,Quebec,Québec,2022-09-13,1,457,,,,
1,Canada,Canada,2022-09-13,7,1338,,,,
24,Quebec,Québec,2022-09-14,1,458,,,,
1,Canada,Canada,2022-09-14,1,1339,,,,
59,British Columbia,Colombie-Britannique,2022-09-15,1,161,,,,
24,Quebec,Québec,2022-09-15,1,459,,,,
1,Canada,Canada,2022-09-15,2,1341,,,,
59,British Columbia,Colombie-Britannique,2022-09-16,1,162,,,,
1,Canada,Canada,2022-09-16,1,1342,,,,
59,British Columbia,Colombie-Britannique,2022-09-17,2,164,,,,
35,Ontario,Ontario,2022-09-17,1,676,,,,
1,Canada,Canada,2022-09-17,3,1345,,,,
59,British Columbia,Colombie-Britannique,2022-09-19,2,166,,,,
1,Canada,Canada,2022-09-19,2,1347,,,,
